,log_view_count
757,-0.3146732047597425
607,-0.6740972182720579
362,-0.047819165536147956
629,-0.24041601939764323
852,-3.006995932194628
438,0.3464628295583534
512,1.9076609348051718
636,2.261346216346137
389,-0.2178453569755625
319,-1.6431757221058803
386,-0.1300470946662564
55,-1.4432611439871375
804,1.5331075617909473
235,-1.5487189512732291
652,-0.8786787874999735
378,0.8669513338049906
397,0.105169838216848
491,-1.5744187639228837
187,-3.85677520803356
291,1.3135752089121837
66,1.624071125664626
640,-0.6875678467103672
498,-0.13941457711649186
132,1.398066652739785
104,-1.0792100382253356
454,-2.0137798605559882
524,-1.1368092042499214
109,-0.36868768061717905
833,0.9330131728834559
120,0.7146500681081687
774,1.4734930620736169
574,2.6871451063474057
190,0.31464812055643243
663,-0.007075121165664555
205,1.240157689154369
706,-0.37955270662453255
626,-0.07698883836333437
465,-0.49222274896402674
464,0.9578781600972386
131,1.0670515007454107
461,0.754447957604433
154,-1.577459166922253
253,-0.5172363566755838
171,0.7404230889916956
792,2.6553174515498092
233,2.225518693759512
647,-2.9041960304468506
566,0.4548054496747369
84,-0.4553400585611218
655,-0.015810499481505147
126,-0.06293560635395146
61,-0.9433078868682792
506,-0.2917437728009382
354,-1.7677777830796249
705,0.34426905579545597
609,-0.5546652239785654
82,0.9506627401245495
747,0.23778206869744345
698,-1.715255934956108
160,-0.3903011248087793
307,1.0174871775425745
89,-0.8591772642322901
487,-2.2633672303768346
809,0.4519377759361678
803,-1.5523518458414323
38,0.6377280309656523
85,-0.9741625059208872
281,4.29489925839494
601,-0.24605733786987471
712,-0.9839328350681038
641,-0.23637467052760464
315,-0.26051651914040264
272,-0.8741469565461433
242,1.3140737513062355
621,2.3960381042820416
778,1.4405996319880217
349,-0.18398714070614197
58,1.7640385960398755
472,1.0160285105954845
342,-0.264495580010804
743,-0.3733459228147389
470,-1.3058030369556848
711,-0.7561545968810606
199,3.263914059565659
801,-0.14664927107043102
683,-1.022847801253664
717,-0.40347490603846303
810,-0.6520263979967407
175,-0.7564439786393891
482,0.02070155087517911
250,-0.6005557382754159
447,-0.8312576061849377
331,-0.6044933848169514
535,0.3953737451073165
522,0.7395339923170301
826,2.284661967241327
288,-1.2743702165525006
813,0.31904481590554745
725,-0.062056444403989275
420,-0.09925569717496963
620,-1.1365394772507824
207,-0.5840415414413158
555,4.334606907170388
138,0.15586975696186656
721,-2.0912674654944317
177,-0.034280100543874426
499,-0.39198323772663457
44,-0.3179417996326084
213,-0.9929237972446465
843,-0.9835544483012892
785,-0.4033329204808265
670,-1.0116714845925117
108,1.48060492559775
270,0.7977453412565509
479,-0.6231856285492174
657,-1.0845929940462273
368,0.29713353253933406
421,-0.0919406572391761
431,0.39785457278425174
545,-0.0015738690645452635
211,1.470959895064861
287,-0.16369733162003453
808,-0.3820235368372167
23,0.2526904565191117
106,-0.3890806002227336
412,0.2802556487487653
762,1.3818140643637733
501,-0.6593842622266104
282,0.3775677422788224
371,-0.6329445816167008
118,-0.6128890114245804
829,-0.5094859306002295
756,3.4269811375382204
113,-0.9699340832008723
259,0.11859872862752407
671,1.3332573975408382
198,-0.0620303224630776
701,4.410405447222362
134,-0.20354044954528128
610,1.3381531424171165
460,-2.232824087864845
770,-1.0988422830724023
702,-2.103480646792443
630,0.3572304392415928
340,-0.4420795523793899
546,-0.6237424659942494
13,-0.8277412874234296
81,2.428581868629708
513,-0.3575178623329238
72,1.5876411290737682
398,-2.3484156040279345
485,2.442741401203061
734,-2.401889878318965
71,0.3010584733890962
380,-0.02679245313045797
863,-2.6268410879827506
562,0.029816071702363445
17,1.9829454824965183
480,-0.13286062274237587
101,-0.19570562948890036
159,2.2865093979362703
332,0.507028890601557
442,-0.6973611410831557
872,2.994763713062645
508,0.6779934658294327
351,1.7582795070562334
693,-0.6518116626396964
576,-0.17509341714897175
356,-2.1060330133276715
766,0.3420762753287274
811,-1.0282943273761322
309,-0.01350342860670306
440,1.0370583439037642
119,0.7956180383173894
402,1.6353922315298277
33,1.7097956656179063
