channel_id,channel_name,channel_view_count,channel_sub_count,channel_video_count
UCuvHICbM9Y71pSzKSEHYvaA,No Injustice Lasts Forever,171899,1530,130
UCxuYl9ybbCHRCGRfpz9h_JA,Next Level Stuff,257897,162,29
UCVpyI2wNO2HdLoXZyPm4-cg,शिक्षा हि समाधान,629598,1350,179
UCEMArgthHuEtX-04qL_8puQ,Goodful,258514560,1640000,972
UC4KWYlW-B2oqxc36TH_RcXw,SenyaiGrubs,1613019785,2570000,480
UCDHK7RywWc4z8J5K3MKkvRw,CHEF AJ,40785088,248000,3207
UCtvZ0idC1JG2MDBeIUlKKcQ,Vegan Outreach,225470,17300,71
UCar_1uhhDjfFPcug04474qA,Garland Farms,612013,4610,379
UCgvCFcR3uvPGsZTbnppLgeg,Inspired Risk Productions,385414,1190,341
UCRDhJv1k5FF1F09ax3O3Z_Q,TinkABoutDis,3188700,8190,438
UComIr_SYmKrR6PbX2AezIJg,Dave Feldman,2813848,57500,118
UCDdocnbyUNzVMJ_LcNWtXZw,Natalie Matthews,5978315,87100,317
UC0x3mjZDPfN_khbaxzckpow,UUSF Media,288099,1580,3390
UC0vn8ISa4LKMunLbzaXLnOQ,GBNews,2153422880,1880000,75841
UCbEn1kwHr0TPmC9VPWIA_Mw,BS w/ Jake Paul,84076911,2430000,323
UChnIqgsBjggTe22mmJ4eP0g,Asheville VeganFest,15744,133,20
UCoQOA6hUYsbmBJAOFj2zeuQ,TKC Short Videos Events,1528,4,16
UCOzMAa6IhV6uwYQATYG_2kg,Novara Media,327739587,979000,4528
UC9_78_45l3Z3zEZd_R6Hc4w,VegUGTv,3824,29,55
UCYJs2xK9w5jkAWFFO9udD8g,All-Creatures,29406,565,625
UCYk0M-19tODLJRNszxLPrzg,Plant Strength,127762,1420,155
UCkT8X9ED9i6s2iPHvV7PKHA,James Kite,35440,803,36
UCpjlh0e319ksmoOD7bQFSiw,Rich Roll,179232137,1460000,1756
UC_iUeUzozCHEReJ-shKcCYA,Internet Anarchist,276012830,1630000,179
UCs42oj2dtWkop4sGlLE8sRQ,禅,328261,529,67
UCn8zNIfYAQNdrFRrr8oibKw,VICE,5395974968,19000000,4292
UCC2yPSuKZfMvWI4EMsz3cdQ,Exploravore ,1963090,16000,162
UC3reEy6plrxgkhmhyzsLixQ,Danny Ishay,9414076,26200,1353
UCJBry7T2R1WeipWMBWKJ7Rg,Unnatural Vegan,65571383,259000,994
UCF4LEacx9sDvAbEJnlaJfKQ,KPIX | CBS NEWS BAY AREA,583880198,446000,58751
UCt0cYZjanDigkRRlScvrxWg,VeganLinked,7251810,94400,537
UCTTlQEjQKByIegGc_CP2z1w,The Cranky Vegan,771698,10300,294
UCJRjK20fHylJyf-HiBtqI2w,PLANT BASED NEWS,77636539,631000,1388
UC1LR--k-bn8-G9T5zx18n-A,Just me! ,2299,41,13
UCYxaGj0gradnkJkwpKN1_SQ,VeganRevolution,1204654,11300,162
UCDbZvuDA_tZ6XP5wKKFuemQ,Rainbow Plant Life,126929187,1410000,214
UC2A6IJQ6AZaK_f_r24his6g,Dr Sermed Mezher,476623863,463000,3019
UCiNZoOmmlu2ayjoS6dV4aQQ,HustleTalk,70590278,50300,50
UCLcUiOsg0i3cGVIxzV0tHYg,JayV,2506,16,15
